causa_de_muerte,sexo,periodo,muertes,poblacion,tasa_mortalidad,causa_muerte_cat
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1980,987,1703406,57.942733558529206,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1981,1020,1731649,58.90339208465457,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1982,989,1763122,56.093679280276696,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1983,925,1786792,51.76875652006501,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1984,943,1816834,51.903476046793486,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1985,1035,1854679,55.80480503634322,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1986,976,1906263,51.19965083516808,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1987,1027,1973492,52.03973464295777,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1988,1160,2039771,56.86912893653258,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1989,1255,2102863,59.68054029197338,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1990,1343,2165697,62.012368304522745,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1991,1364,2229548,61.178319551765654,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1992,1400,2294607,61.01262656306723,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1993,1562,2361074,66.15633393955463,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1994,1480,2430501,60.89279535371514,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1995,1653,2501907,66.06960210751238,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1996,1685,2573444,65.47645878441497,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1997,1635,2643616,61.84710638761454,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1998,1684,2715352,62.01774208279442,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,1999,1785,2776465,64.29038363530604,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2000,1733,2836940,61.0869457937073,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2001,1852,2903761,63.77935374157859,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2002,1910,2960774,64.51015849234017,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2003,2067,3001136,68.87391974239088,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2004,2126,3015259,70.50803927622802,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2005,2342,3049867,76.79023380363799,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2006,2186,3112155,70.24071744498588,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2007,2401,3154365,76.11674615968666,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2008,2393,3214073,74.45381607698394,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2009,2164,3285475,65.86566630395909,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2010,2082,3364111,61.88856431907271,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2011,1974,3439265,57.395984316416445,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2012,2072,3498769,59.220828811504845,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2013,1982,3574425,55.44947788805192,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2014,2185,3647967,59.89637515909546,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2015,2684,3702295,72.49557369145354,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2016,2406,3759232,64.0024345398209,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2017,2464,3817681,64.54179906597749,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2018,2419,3881154,62.32682341386093,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2019,2300,3952736,58.18754402014199,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2020,37448,4007280,934.499211435188,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Hombres,2021,22022,4073128,540.6655523715434,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1980,848,2475332,34.25803084192343,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1981,838,2528137,33.14693784395387,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1982,764,2584400,29.561987308466183,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1983,795,2629964,30.22855065696717,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1984,832,2681698,31.025119159577255,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1985,883,2739126,32.23656012903386,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1986,911,2801065,32.52334379959051,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1987,1026,2878551,35.64293285059045,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1988,1067,2958475,36.065878535394084,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1989,1212,3032296,39.969712719338744,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1990,1277,3109970,41.06148933912546,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1991,1354,3186139,42.4965765774814,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1992,1433,3262630,43.92162151393201,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1993,1531,3343367,45.79216101612536,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1994,1568,3427229,45.75124685277815,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1995,1691,3513749,48.12523603706468,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1996,1628,3597952,45.24796328578035,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1997,1689,3680634,45.888833282526875,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1998,1906,3767437,50.59142329387326,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,1999,1932,3840517,50.30572706747555,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2000,1953,3912891,49.911944902119686,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2001,2082,3994792,52.11785745040042,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2002,2232,4065821,54.896661707438675,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2003,2586,4118108,62.79582759849911,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2004,2519,4139000,60.860111137956025,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2005,2615,4180461,62.55290983458523,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2006,2626,4250166,61.785822012599034,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2007,2984,4297068,69.44269906829494,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2008,3083,4363318,70.65723836768258,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2009,2679,4441642,60.315531958676544,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2010,2585,4528679,57.080663036616194,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2011,2629,4612933,56.99193983524149,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2012,2750,4675622,58.81570409241808,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2013,2660,4758563,55.89922840151533,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2014,2781,4839814,57.460885893548806,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2015,3417,4897557,69.76947894633999,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2016,3341,4960687,67.34954251296242,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2017,3186,5022684,63.43222070112315,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2018,2864,5091496,56.250657959860916,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2019,2774,5173068,53.623884317778156,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2020,37106,5236250,708.6369061828599,I. Infecciosas*
001-008  I.Enfermedades infecciosas y parasitarias,Mujeres,2021,18697,5313145,351.90080451408727,I. Infecciosas*
009-041  II.Tumores,Hombres,1980,20798,1703406,1220.9655243670622,II. Tumores
009-041  II.Tumores,Hombres,1981,21503,1731649,1241.7643529375757,II. Tumores
009-041  II.Tumores,Hombres,1982,22184,1763122,1258.2226300845887,II. Tumores
009-041  II.Tumores,Hombres,1983,22980,1786792,1286.1038106282097,II. Tumores
009-041  II.Tumores,Hombres,1984,24321,1816834,1338.6473392726027,II. Tumores
009-041  II.Tumores,Hombres,1985,25698,1854679,1385.5766954820754,II. Tumores
009-041  II.Tumores,Hombres,1986,26503,1906263,1390.3118300045692,II. Tumores
009-041  II.Tumores,Hombres,1987,27946,1973492,1416.0685728647495,II. Tumores
009-041  II.Tumores,Hombres,1988,29281,2039771,1435.504279647078,II. Tumores
009-041  II.Tumores,Hombres,1989,30357,2102863,1443.6033160505465,II. Tumores
009-041  II.Tumores,Hombres,1990,31759,2165697,1466.4562955944436,II. Tumores
009-041  II.Tumores,Hombres,1991,32646,2229548,1464.2429766033295,II. Tumores
009-041  II.Tumores,Hombres,1992,33712,2294607,1469.1840476386587,II. Tumores
009-041  II.Tumores,Hombres,1993,35676,2361074,1511.0072788908776,II. Tumores
009-041  II.Tumores,Hombres,1994,37006,2430501,1522.566746526745,II. Tumores
009-041  II.Tumores,Hombres,1995,38036,2501907,1520.2803301641509,II. Tumores
009-041  II.Tumores,Hombres,1996,38628,2573444,1501.0235311123924,II. Tumores
009-041  II.Tumores,Hombres,1997,40034,2643616,1514.3651725515356,II. Tumores
009-041  II.Tumores,Hombres,1998,41119,2715352,1514.3156393719858,II. Tumores
009-041  II.Tumores,Hombres,1999,42232,2776465,1521.070858087532,II. Tumores
009-041  II.Tumores,Hombres,2000,42598,2836940,1501.5474419621141,II. Tumores
009-041  II.Tumores,Hombres,2001,44549,2903761,1534.1827374911365,II. Tumores
009-041  II.Tumores,Hombres,2002,44442,2960774,1501.0264207940222,II. Tumores
009-041  II.Tumores,Hombres,2003,45397,3001136,1512.6605392091528,II. Tumores
009-041  II.Tumores,Hombres,2004,45729,3015259,1516.5861373765904,II. Tumores
009-041  II.Tumores,Hombres,2005,45628,3049867,1496.0652382546518,II. Tumores
009-041  II.Tumores,Hombres,2006,45867,3112155,1473.8019153930315,II. Tumores
009-041  II.Tumores,Hombres,2007,46858,3154365,1485.497081028987,II. Tumores
009-041  II.Tumores,Hombres,2008,46852,3214073,1457.7142460672176,II. Tumores
009-041  II.Tumores,Hombres,2009,47674,3285475,1451.0535006353723,II. Tumores
009-041  II.Tumores,Hombres,2010,48838,3364111,1451.7356888640118,II. Tumores
009-041  II.Tumores,Hombres,2011,49819,3439265,1448.536242482042,II. Tumores
009-041  II.Tumores,Hombres,2012,50976,3498769,1456.969579872235,II. Tumores
009-041  II.Tumores,Hombres,2013,50928,3574425,1424.7886023626177,II. Tumores
009-041  II.Tumores,Hombres,2014,50849,3647967,1393.8996706932928,II. Tumores
009-041  II.Tumores,Hombres,2015,51417,3702295,1388.7872252211127,II. Tumores
009-041  II.Tumores,Hombres,2016,52302,3759232,1391.2948176648847,II. Tumores
009-041  II.Tumores,Hombres,2017,52573,3817681,1377.0925333992022,II. Tumores
009-041  II.Tumores,Hombres,2018,52087,3881154,1342.0492977088775,II. Tumores
009-041  II.Tumores,Hombres,2019,52493,3952736,1328.0168470649191,II. Tumores
